fips,stateabbr,statedesc,locationname,measure,data_value_type,asthma_prevalence_pct,state,county,pm25_mean,monitor_count,total_observations
06101,CA,California,Sutter,Current asthma among adults,Age-adjusted prevalence,10.0,California,Sutter,8.501549458572242,1.0,22847.0
13069,GA,Georgia,Coffee,Current asthma among adults,Age-adjusted prevalence,10.8,Georgia,Coffee,8.02597123033708,1.0,8544.0
06103,CA,California,Tehama,Current asthma among adults,Age-adjusted prevalence,10.7,California,Tehama,6.145537517289557,1.0,11452.0
13021,GA,Georgia,Bibb,Current asthma among adults,Age-adjusted prevalence,11.3,Georgia,Bibb,10.687492854625905,2.0,49947.0
12105,FL,Florida,Polk,Current asthma among adults,Age-adjusted prevalence,10.1,Florida,Polk,7.2414882848335385,1.0,27574.0
12033,FL,Florida,Escambia,Current asthma among adults,Age-adjusted prevalence,10.6,Florida,Escambia,9.935202554326567,1.0,31191.0
06087,CA,California,Santa Cruz,Current asthma among adults,Age-adjusted prevalence,9.8,California,Santa Cruz,5.354137626262626,2.0,22572.0
08001,CO,Colorado,Adams,Current asthma among adults,Age-adjusted prevalence,10.9,Colorado,Adams,8.28701921645495,1.0,11887.0
13067,GA,Georgia,Cobb,Current asthma among adults,Age-adjusted prevalence,9.4,Georgia,Cobb,11.347455787684263,1.0,8412.0
12103,FL,Florida,Pinellas,Current asthma among adults,Age-adjusted prevalence,9.7,Florida,Pinellas,7.400307636204403,2.0,65655.0
12099,FL,Florida,Palm Beach,Current asthma among adults,Age-adjusted prevalence,9.4,Florida,Palm Beach,7.206892906917695,3.0,96882.0
08041,CO,Colorado,El Paso,Current asthma among adults,Age-adjusted prevalence,11.6,Colorado,El Paso,5.468072688512719,1.0,11047.0
12085,FL,Florida,Martin,Current asthma among adults,Age-adjusted prevalence,9.4,Florida,Martin,7.194853418834054,1.0,32643.0
06107,CA,California,Tulare,Current asthma among adults,Age-adjusted prevalence,10.0,California,Tulare,10.702270024679951,2.0,30308.0
13059,GA,Georgia,Clarke,Current asthma among adults,Age-adjusted prevalence,10.5,Georgia,Clarke,10.009331536188594,1.0,65283.0
06113,CA,California,Yolo,Current asthma among adults,Age-adjusted prevalence,9.8,California,Yolo,7.710154800382434,1.0,29286.0
10001,DE,Delaware,Kent,Current asthma among adults,Age-adjusted prevalence,12.6,Delaware,Kent,9.006050997369975,2.0,49049.0
10005,DE,Delaware,Sussex,Current asthma among adults,Age-adjusted prevalence,10.7,Delaware,Sussex,9.806617011784725,1.0,31736.0
06099,CA,California,Stanislaus,Current asthma among adults,Age-adjusted prevalence,10.0,California,Stanislaus,10.410369093235913,2.0,22856.0
08101,CO,Colorado,Pueblo,Current asthma among adults,Age-adjusted prevalence,11.2,Colorado,Pueblo,5.2454142468650105,1.0,4067.0
12117,FL,Florida,Seminole,Current asthma among adults,Age-adjusted prevalence,9.1,Florida,Seminole,6.900430701581712,1.0,31801.0
08123,CO,Colorado,Weld,Current asthma among adults,Age-adjusted prevalence,10.7,Colorado,Weld,7.762185634511302,2.0,12564.0
08005,CO,Colorado,Arapahoe,Current asthma among adults,Age-adjusted prevalence,10.5,Colorado,Arapahoe,5.378632,1.0,936.0
13215,GA,Georgia,Muscogee,Current asthma among adults,Age-adjusted prevalence,11.0,Georgia,Muscogee,10.700673336052324,2.0,51980.0
15009,HI,Hawaii,Maui,Current asthma among adults,Age-adjusted prevalence,10.5,Hawaii,Maui,3.9994170448957287,1.0,10981.0
17161,IL,Illinois,Rock Island,Current asthma among adults,Age-adjusted prevalence,10.6,Illinois,Rock Island,10.79885045400758,1.0,32451.0
17119,IL,Illinois,Madison,Current asthma among adults,Age-adjusted prevalence,10.6,Illinois,Madison,8.758357222205511,4.0,6647.0
16009,ID,Idaho,Benewah,Current asthma among adults,Age-adjusted prevalence,11.8,Idaho,Benewah,9.148078650040883,1.0,9784.0
17111,IL,Illinois,McHenry,Current asthma among adults,Age-adjusted prevalence,9.6,Illinois,McHenry,10.200129109375,1.0,32512.0
13303,GA,Georgia,Washington,Current asthma among adults,Age-adjusted prevalence,11.1,Georgia,Washington,10.40842785713899,1.0,73897.0
16059,ID,Idaho,Lemhi,Current asthma among adults,Age-adjusted prevalence,11.2,Idaho,Lemhi,7.340037872180452,1.0,8512.0
15001,HI,Hawaii,Hawaii,Current asthma among adults,Age-adjusted prevalence,11.4,Hawaii,Hawaii,2.5985406779412332,10.0,153354.0
17115,IL,Illinois,Macon,Current asthma among adults,Age-adjusted prevalence,11.0,Illinois,Macon,10.473827776676924,1.0,32500.0
17019,IL,Illinois,Champaign,Current asthma among adults,Age-adjusted prevalence,10.2,Illinois,Champaign,9.296059868967125,2.0,34312.0
17167,IL,Illinois,Sangamon,Current asthma among adults,Age-adjusted prevalence,10.6,Illinois,Sangamon,10.171551360928168,1.0,32494.0
17197,IL,Illinois,Will,Current asthma among adults,Age-adjusted prevalence,9.7,Illinois,Will,10.787163155556241,2.0,64774.0
17083,IL,Illinois,Jersey,Current asthma among adults,Age-adjusted prevalence,10.5,Illinois,Jersey,8.9146330430807,1.0,32590.0
13245,GA,Georgia,Richmond,Current asthma among adults,Age-adjusted prevalence,11.5,Georgia,Richmond,10.121489691461745,1.0,42374.0
15003,HI,Hawaii,Honolulu,Current asthma among adults,Age-adjusted prevalence,9.7,Hawaii,Honolulu,4.451149047782243,3.0,81118.0
17065,IL,Illinois,Hamilton,Current asthma among adults,Age-adjusted prevalence,10.9,Illinois,Hamilton,9.12058974890152,1.0,32545.0
17043,IL,Illinois,DuPage,Current asthma among adults,Age-adjusted prevalence,8.9,Illinois,DuPage,11.369312181484435,1.0,31325.0
16041,ID,Idaho,Franklin,Current asthma among adults,Age-adjusted prevalence,10.7,Idaho,Franklin,6.259740285714286,1.0,2464.0
16079,ID,Idaho,Shoshone,Current asthma among adults,Age-adjusted prevalence,11.5,Idaho,Shoshone,9.663636079777365,1.0,8624.0
16027,ID,Idaho,Canyon,Current asthma among adults,Age-adjusted prevalence,10.8,Idaho,Canyon,7.297959078031212,2.0,6664.0
17031,IL,Illinois,Cook,Current asthma among adults,Age-adjusted prevalence,9.8,Illinois,Cook,10.981302678815522,12.0,138120.0
17089,IL,Illinois,Kane,Current asthma among adults,Age-adjusted prevalence,9.3,Illinois,Kane,9.821666825,2.0,1920.0
17163,IL,Illinois,St. Clair,Current asthma among adults,Age-adjusted prevalence,11.1,Illinois,Saint Clair,11.266583068565401,1.0,32232.0
13295,GA,Georgia,Walker,Current asthma among adults,Age-adjusted prevalence,10.3,Georgia,Walker,11.757217801711757,1.0,34818.0
17157,IL,Illinois,Randolph,Current asthma among adults,Age-adjusted prevalence,10.5,Illinois,Randolph,8.470097247482014,1.0,31970.0
17143,IL,Illinois,Peoria,Current asthma among adults,Age-adjusted prevalence,10.6,Illinois,Peoria,9.135399375832353,1.0,20424.0
17113,IL,Illinois,McLean,Current asthma among adults,Age-adjusted prevalence,10.2,Illinois,McLean,10.406633588031546,1.0,64670.0
13185,GA,Georgia,Lowndes,Current asthma among adults,Age-adjusted prevalence,10.7,Georgia,Lowndes,9.994559784249947,1.0,33511.0
16001,ID,Idaho,Ada,Current asthma among adults,Age-adjusted prevalence,10.3,Idaho,Ada,5.811999621538463,1.0,2600.0
19137,IA,Iowa,Montgomery,Current asthma among adults,Age-adjusted prevalence,10.3,Iowa,Montgomery,8.165,1.0,960.0
19153,IA,Iowa,Polk,Current asthma among adults,Age-adjusted prevalence,9.8,Iowa,Polk,9.435078228385201,2.0,38816.0
18089,IN,Indiana,Lake,Current asthma among adults,Age-adjusted prevalence,11.5,Indiana,Lake,10.837444344814926,6.0,163392.0
19155,IA,Iowa,Pottawattamie,Current asthma among adults,Age-adjusted prevalence,10.4,Iowa,Pottawattamie,9.629999949999998,1.0,1440.0
19103,IA,Iowa,Johnson,Current asthma among adults,Age-adjusted prevalence,9.7,Iowa,Johnson,10.84647891840636,1.0,53362.0
19147,IA,Iowa,Palo Alto,Current asthma among adults,Age-adjusted prevalence,10.1,Iowa,Palo Alto,8.976667,1.0,960.0
18005,IN,Indiana,Bartholomew,Current asthma among adults,Age-adjusted prevalence,10.6,Indiana,Bartholomew,8.471809395295416,1.0,10883.0
18141,IN,Indiana,St. Joseph,Current asthma among adults,Age-adjusted prevalence,11.2,Indiana,St. Joseph,10.61156260904168,1.0,48752.0
18127,IN,Indiana,Porter,Current asthma among adults,Age-adjusted prevalence,11.0,Indiana,Porter,9.73981651867368,1.0,11219.0
18037,IN,Indiana,Dubois,Current asthma among adults,Age-adjusted prevalence,10.9,Indiana,Dubois,9.195083572907155,1.0,6570.0
