fips,state,county,pm25_mean,monitor_count,total_observations
35001,New Mexico,Bernalillo,6.124177931030163,6.0,199522.0
35013,New Mexico,Dona Ana,5.995920402376456,4.0,52431.0
35025,New Mexico,Lea,6.386379652341695,1.0,11402.0
35049,New Mexico,Santa Fe,2.400465358486665,1.0,9674.0
35055,New Mexico,Taos,4.092211728006605,1.0,10901.0
36001,New York,Albany,8.662409658889759,2.0,34461.0
36005,New York,Bronx,9.471792863067845,3.0,39976.0
36013,New York,Chautauqua,7.126866,1.0,536.0
36029,New York,Erie,7.293896044009042,3.0,6635.0
36031,New York,Essex,4.756900239242992,1.0,5601.0
36047,New York,Kings,9.173244913268551,3.0,11011.0
36055,New York,Monroe,8.235282081552564,2.0,37203.0
36061,New York,New York,9.69930769550173,2.0,2312.0
36067,New York,Onondaga,8.084892219475815,1.0,32851.0
36071,New York,Orange,7.608771999999999,1.0,912.0
36081,New York,Queens,10.372246231668228,2.0,35253.0
36085,New York,Richmond,9.528813999999999,1.0,472.0
36101,New York,Steuben,8.644457446018428,1.0,29084.0
36103,New York,Suffolk,7.6080000000000005,1.0,600.0
37021,North Carolina,Buncombe,6.884023519532165,1.0,17100.0
37035,North Carolina,Catawba,8.384409533525693,1.0,21834.0
37051,North Carolina,Cumberland,9.186618746387598,1.0,11419.0
37057,North Carolina,Davidson,9.195802261130284,1.0,35354.0
37063,North Carolina,Durham,7.939191237354086,1.0,11051.0
37067,North Carolina,Forsyth,9.709525387868117,2.0,66453.0
37081,North Carolina,Guilford,9.861858602539234,1.0,11342.0
37101,North Carolina,Johnston,8.167943659562988,1.0,11121.0
37119,North Carolina,Mecklenburg,9.246338725701237,3.0,58254.0
37121,North Carolina,Mitchell,6.885759679419058,1.0,11292.0
37123,North Carolina,Montgomery,9.700643783830326,1.0,11033.0
37129,North Carolina,New Hanover,8.14681163336407,1.0,44461.0
37131,North Carolina,Northampton,7.9448219816015415,1.0,11414.0
37147,North Carolina,Pitt,7.727975144328996,1.0,11453.0
